id,type,rating,dibl,dibu,song,episode,episodeID,episodeType,episodeLength,cleaned_rating,rating_numeric,dibl_copy,dibl_numeric
1,Big Mac,3/5,Not Done,1,- No Song -,Big Mac Sausage,f5wvSQdkgXA,Standard,04:37,3,3.0,Not Done,
2,Spaghetti and Meatballs,2/5,Not Done,1,- No Song -,Spaghetti ans Meatballs Sausage,qNZ08y8d7RY,Standard,04:02,2,2.0,Not Done,
3,Entire KFC Big Box Meal,5/5,Not Done,1,- No Song -,Entire KFC Big Box Meal Sausage,Ve9mlKn4FTs,Standard,02:51,5,5.0,Not Done,
4,Sushi,0/5,Not Done,1,- No Song -,Sushi Sausage,qOdHN0k4N34,Standard,02:30,0,0.0,Not Done,
5,Pizza Rolls,1/5,Not Done,0,- No Song -,Pizza Rolls Sausage,CVn4PMK1XvM,Standard,02:45,1,1.0,Not Done,
6,Taco Bell Crunchy Taco,1/5,Not Done,1,- No Song -,Taco Bell Crunchy Taco Sausage,Bmx5S1NKqTk,Standard,03:29,1,1.0,Not Done,
7,Vanilla Cake,4/5,Not Done,1,- No Song -,Vanilla Cake Sausage,qP1HMK7Qcj4,Milestone Special,04:32,4,4.0,Not Done,
8,St Patrick's Day Corned Beef and Cabbage,5/5,Not Done,0,- No Song -,St Patrick's Day Corned Beef and Cabbage Sausage,BGC9Tw-RkDQ,Holiday Special,04:53,5,5.0,Not Done,
9,Vienna Sausage,0/5,Not Done,1,- No Song -,Vienna Sausage Sausage,F2gQ7PYxzaw,Standard,03:46,0,0.0,Not Done,
10,Panda Express Orange Chicken and Chow Mein,2/5,Yes,1,- No Song -,Panda Express Orange Chicken and Chow Mein,TOJ6jmUtM20,Standard,05:20,2,2.0,Yes (No Rating),
11,Passover,1/5,Not Done,1,- No Song -,Passover Sausage,2ERi6bhzRbY,Holiday Special,07:06,1,1.0,Not Done,
12,Easter Surprise,1/5,Not Done,1,- No Song -,Easter Surprise Sausage,ZqB1kcHMe3Q,Holiday Special,04:09,1,1.0,Not Done,
13,Arby's Big Beef and Cheddar,2/5,Not Done,1,- No Song -,Arby's Big Beef and Cheddar Sausage,URVLma3onpQ,Standard,05:18,2,2.0,Not Done,
14,Fruit Salad,0/5,Not Done,1,- No Song -,Reaction Sausage,xmA0snstBeQ,Milestone Special,06:12,0,0.0,Not Done,
15,McDonald's Chicken McNugget Barbecue,2/5,Yes,1,The Gambler,McDonald's Chicken McNugget Sausage,EwtduKn6LOQ,Standard,06:15,2,2.0,Yes (No Rating),
16,McDonald's Chicken McNugget Honey Mustard,3/5,Yes,1,The Gambler,McDonald's Chicken McNugget Sausage,EwtduKn6LOQ,Standard,06:15,3,3.0,Yes (No Rating),
17,Bloomin Onion,1/5,Not Done,1,Down Under,Bloomin Onion Sausage,tfNg_Wcm9Rc,Standard,06:15,1,1.0,Not Done,
18,MRE Menu 7: Beef Brisket,Disqualified,Not Done,1,- No Song -,MRE Sausage: Menu 7 Beef Brisket,s7VcVGXBHHI,Standard,08:12,Disqualified,,Not Done,
19,Egg Roll,3/5,Not Done,0,- No Song -,Egg Roll Sausage,3VTMG2fWx18,Standard,06:37,3,3.0,Not Done,
20,Lobster,5/5,Not Done,0,Rock the Casbah,Lobster Sausage,cnhhGk_ALeg,Standard,04:39,5,5.0,Not Done,
21,Water,0/5,Not Done,0,- No Song -,Water Sausage,sMk4SPd8wmk,Standard,01:00,0,0.0,Not Done,
22,Pickle (Whole),0/5,Not Done,0,- No Song -,100K Sausage,FjRY5murMXA,Milestone Special,05:15,0,0.0,Not Done,
23,Pickle (Relish),1/5,Not Done,0,- No Song -,100K Sausage,FjRY5murMXA,Milestone Special,05:15,1,1.0,Not Done,
24,Pickle and Pork,4/5,Not Done,0,- No Song -,100K Sausage,FjRY5murMXA,Milestone Special,05:15,4,4.0,Not Done,
25,Chipotle Steak Burrito,3/5,Yes,1,Genie in a Bottle,Chipotle Steak Burrito Sausage,XBuQehx1SDw,Standard,03:41,3,3.0,Yes (No Rating),
26,Denny's Original Grand Slam,3/5,Not Done,0,- No Song -,Denny's Original Grand Slam Sausage,U4Jd-yYhBBk,Standard,04:24,3,3.0,Not Done,
27,Literally Just Eggs,3/5,Not Done,0,- No Song -,Literally Just Eggs Sausage,vo8X2hBjq6M,Standard,00:59,3,3.0,Not Done,
28,Beef Heart,4/5,Not Done,0,My Way,Beef Heart Sausage,zvf3cHxkIRo,Standard,05:00,4,4.0,Not Done,
29,Strawberry,0/5,Not Done,1,- No Song -,Popcorn Sausage,zvf3cHxkIRo,Standard,01:03,0,0.0,Not Done,
30,MRE: Rib-shaped BBQ Patties,Disqualified,Not Done,1,"Pure Imagination, Fly Me To The Moon, Wonderwall",MRE Sausage Livestream,8YqWMJVp8A0,Livestream Recording,60:31,Disqualified,,Not Done,
31,MRE: White Chicken Chunks,0/5,Yes,1,"Take On Me, Country Roads, Baby Shark, Africa, Barbara Ann, Big Iron, Killer Queen, Billie Jean, Rasputin, Beat it",MRE Sausage Livestream,8YqWMJVp8A0,Livestream Recording,60:31,0,0.0,Yes (No Rating),
32,Marie Calendar's Chicken Pot Pie,2/5,Yes,1,- No Song -,Marie Calendar's Chicken Pot Pie Sausage,wpJbAZH68Ps,Standard,02:54,2,2.0,Yes (No Rating),
33,Hot Dog,1/5,Yes,0,- No Song -,Hot Dog Sausage,fCBtHbjek04,Standard,01:02,1,1.0,Yes (No Rating),
34,An Entire Fish,0/5,Not Done,0,"Take Me to the River, Entry Of The Gladiators",An Entire Fish Sausage,q3keZ0KAYNo,Standard,05:32,0,0.0,Not Done,
35,Candy,1/5,Not Done,1,- No Song -,Candy Sausage,ox0P8fDde90,Standard,01:09,1,1.0,Not Done,
36,Panda Express Orange Chicken Redux,3/5,Not Done,1,- No Song -,Panda Express Orange Chicken Sausage Redux,U5bZ97bKFbM,Standard,04:26,3,3.0,Not Done,
37,Panda Express Orange Chicken and Honeynut Shrimp,2/5,Not Done,1,- No Song -,Panda Express Orange Chicken Sausage Redux,U5bZ97bKFbM,Standard,04:26,2,2.0,Not Done,
38,Panda Express Honeynut Shrimp,1/5,Not Done,1,- No Song -,Panda Express Orange Chicken Sausage Redux,U5bZ97bKFbM,Standard,01:08,1,1.0,Not Done,
39,Ice,1/5,Not Done,1,- No Song -,Ice Sausage,jM26FaLgPPw,Standard,01:09,1,1.0,Not Done,
40,Little Caesars $5 Hot-N-Ready Pepperoni Pizza,3/5,Not Done,0,Piano Man,Little Caesars $5 Hot-N-Ready Pepperoni Pizza but as a Sausage,JBsVY2Nb-FU,Standard,04:11,3,3.0,Not Done,
41,New England Clam Chowder,Disqualified,Not Done,1,Islands In The Stream,New England Clam Chowder but as a Sausage,hrPuJIfFe9k,Standard,01:00,Disqualified,,Not Done,
42,Chicken Tikka Masala,5/5,Yes,1,I Want To Know What Love Is,Chicken Tikka Masala Sausage,dckhsVvbNTU,Standard,03:48,5,5.0,Yes (No Rating),
43,Cooked Bacon,1/5,Not Done,0,- No Song -,Bacon Sausage,VFgAobE4rDo,Standard,04:34,1,1.0,Not Done,
44,Raw Bacon,0/5,Not Done,1,- No Song -,Bacon Sausage,VFgAobE4rDo,Standard,04:34,0,0.0,Not Done,
45,Air,0/5,Not Done,0,- No Song -,Air Sausage,mU59p0R01mM,Standard,01:07,0,0.0,Not Done,
46,Subway Marinara Meatball Sub,0/5,No,0,- No Song -,Subway Sausage: Special YouTube Celebrity Edition,zPkeG5Uwkcs,YouTube Celebrity Special,05:09,0,0.0,No (No Rating),
47,Peanut Butter and Jelly Sandwich,2/5,Not Done,1,"Mr. Sandman, Escape (The Pina Colada Song)",Peanut Butter and Jelly Sandwich Sausage,QX3yr4Xx9FM,Standard,03:35,2,2.0,Not Done,
48,Grilled Ribeye Steak,4/5,Not Done,1,I Would Do Anything For Love,Grilled Ribeye Steak Sausage,F82kzN-ae3o,Standard,03:14,4,4.0,Not Done,
49,Ice Cream Sandwich,4/5,Not Done,0,Africa,Ice Cream Sandwich Sausage,xyhXx4RPS4Y,Standard,02:28,4,4.0,Not Done,
50,McDonald's Filet-O-Fish,3/5,Yes,0,Ernie and Rubber Duckie,McDonald's Filet-O-Fish Sausage,N7g3r-smV4w,Standard,04:24,3,3.0,Yes (No Rating),
51,White Castle Cheeseburger Slider,5/5,Not Done,1,Ain't No Mountain High Enough,White Castle Sausage,r2JODJMGYHw,Standard,03:16,5,5.0,Not Done,
52,Hungry-Man Salisbury Steak,2/5,Yes,1,Solsbury Hill,Hungry-Man Salisbury Steak But As A Sausage,2igWj4r8l2w,Standard,03:59,2,2.0,Yes (No Rating),
53,Brick of Extra Sharp Cheddar Cheese,0/5,Yes,1,- No Song -,Just a Brick of Cheese Sausage,6XsRNwSh-N4,Standard,03:45,0,0.0,Yes (No Rating),
54,Colby and Monterey Jack Cheese Sticks,0/5,Not Done,1,- No Song -,Just a Brick of Cheese Sausage,6XsRNwSh-N4,Standard,03:45,0,0.0,Not Done,
55,Chili,1/5,Yes,1,Puzzle Of My Heart,Chili Sausage,KdZGqHvubM0,Standard,03:43,1,1.0,Yes (No Rating),
56,Mixed Nuts,1/5,Not Done,1,- No Song -,Nuts Sausage,8II4xkjDizs,Standard,03:15,1,1.0,Not Done,
57,Red Lobster Coconut Shrimp,1.5/5,No,1,Closing Time,Red Lobster Coconut Shrimp and Cheddar Bay Biscuit Sausage,g9IM2j1ZfGQ,Standard,04:20,1.5,1.5,No (No Rating),
58,Red Lobster Cheddar Bay Biscuit,1.5/5,No,1,Closing Time,Red Lobster Coconut Shrimp and Cheddar Bay Biscuit Sausage,g9IM2j1ZfGQ,Standard,04:20,1.5,1.5,No (No Rating),
59,McDonald's Travis Scott Meal,3/5,Yes,0,- No Song -,Travis Scott Meal Sausage,q1hDPAseqDQ,Standard,03:49,3,3.0,Yes (No Rating),
60,Raw Meatloaf,4/5,Yes,0,"Bailamos, Never Gonna Give You Up",Meatloaf Sausage: King of the Loafs,abd5kQXePOU,Standard,05:11,4,4.0,Yes (No Rating),
61,Cooked Meatloaf,0/5,Yes,1,"Bailamos, Never Gonna Give You Up",Meatloaf Sausage: King of the Loafs,abd5kQXePOU,Standard,05:11,0,0.0,Yes (No Rating),
62,Slim Jims,0/5,No,0,"Aint No Sunshine, Reading Rainbow Theme",Slim Jim Sausage,pPyOW5q6g8k,Standard,03:25,0,0.0,No (No Rating),
63,Fried Rice,4/5,Yes,1,"Rock The Casbah, Bad Romance",Fried Rice Sausage Live!,mB3fRQyhz60,Livestream Recording,86:08,4,4.0,Yes (No Rating),
64,Key Lime Pie,2/5,Yes,1,- No Song -,Key Lime Pie Sausage,C5lsHkELVoE,Standard,03:29,2,2.0,Yes (No Rating),
65,Pork and Key Lime Pie,0/5,Yes,1,- No Song -,Key Lime Pie Sausage,C5lsHkELVoE,Standard,03:29,0,0.0,Yes (No Rating),
66,Fire (Fireball Whisky and Pork),1/5,Not Done,0,- No Song -,Fire Sausage,k1aV0FBf_8Q,Standard,01:08,1,1.0,Not Done,
67,Hamburger Helper Cheeseburger Macaroni,2.5/5,No,1,Zombie,Hamburger Helper Cheeseburger Macaroni Sausage,xB_0p1JFcok,Standard,04:42,2.5,2.5,No (No Rating),
68,Pumpkin,1/5,Yes,1,"Linger, Monster Mash",Pumpkin Sausage,JLnPDXnAlB0,Holiday Special,03:47,1,1.0,Yes (No Rating),
69,Bull Penis and Testicles,2/5,Yes,0,Creep,"The Bull Sausage (parents, maybe don't show your kids this one)",ZY2IJl1Z468,Holiday Special,04:13,2,2.0,Yes (No Rating),
70,Candy Corn,0/5,Not Done,0,Rudolph the Red Nose Reindeer,Candy Corn Sausage,9XGd8HyiLhs,Holiday Special,03:03,0,0.0,Not Done,
71,Baby Back Ribs,4/5,Yes,0,"The Time Warp, Chapel Of Love, Spooky Scary Skeletons",Baby Back Ribs Sausage,QGKmmq0yQxM,Holiday Special,05:30,4,4.0,Yes (No Rating),
72,Candy Apple and Caramel Apple,2/5,Yes,1,Whip it,Candy Apple Sausage,46B7tlMMrt4,Holiday Special,04:18,2,2.0,Yes (No Rating),
73,Brain,0/5,Yes,0,"Star Spangled Banner, The Black Parade",Brain Sausage,4g23E-gE3hk,Holiday Special,03:41,0,0.0,Yes (No Rating),
74,Panera Autumn Squash and Bread Bowl,0.5/5,Yes,0,The Phantom Of The Opera,Panera Autumn Squash Soup and Bread Bowl Sausage,1iYSDdG6u6w,Holiday Special,03:06,0.5,0.5,Yes (No Rating),
75,Beyond Sausage,5/5,Yes,0,"Love Shack, Master of Puppets, Fly Me To The Moon, Twelve Days Of Christmas, Genie In A Bottle, Rock the Casbah, Creep, Good Vibrations, Wouldn't It Be Nice",Beyond Sausage Sausage Livestream,vJBqP8XNhAU,Livestream Recording,65:10,5,5.0,Yes (No Rating),
76,Blood,3/5,Not Done,0,- No Song -,Blood Sausage,TAAuG_-dfZ4,Holiday Special,03:52,3,3.0,Not Done,
77,A Bag of Halloween Candy,3/5,Not Done,0,- No Song -,A Bag of Halloween Candy Sausage,FXVhhn8W6Bo,Holiday Special,01:07,3,3.0,Not Done,
78,Pumpkin Pie,1/5,No,1,"Monster mash, Sppoky Scary Skeletons, The Lion Sleeps Tonight",Pumpkin Pie Sausage Livestream,7oeWDRSKthg,Livestream Recording,58:00,1,1.0,No (No Rating),
79,Pad Thai,4/5,2,0,"Der Kommissar, Mariner's Revenge Song",Pad Thai Sausage,w8bGKq3oyQ8,Standard,03:36,4,4.0,2/5 Mark Ruffalos,2.0
80,Reuben Sandwich,4/5,4,0,"Reflection, A Girl Worth Fighting For",Reuben Sausage,7JXK1T3nP74,Standard,03:22,4,4.0,4/5 Mark Ruffalos,4.0
81,Oil,0/5,Not Done,0,- No Song -,YouTube Comments Suggestions 1: Oil Sausage,RH1kOgbLqSY,YouTube Comments Suggestions,01:00,0,0.0,Not Done,
82,Pu Pu Platter,3/5,1,0,"In Too Deep, Rio",Pu Pu Platter Sausage,TFwUmulDS0s,Standard,03:48,3,3.0,1/5 Mark Ruffalos,1.0
83,Big Ol' Pepperoni Stick,1/5,4,1,"Make A Move, Funkytown, Axel F (Instrumental)",Just a Big Ol' Pepperoni Stick Sausage,VPHH0ol_SsM,Standard,03:38,1,1.0,4/5 Mark Ruffalos,4.0
84,Butter,0/5,Not Done,1,- No Song -,YouTube Comments Suggestions 2: Butter Sausage,qRSglAEMJ-s,YouTube Comments Suggestions,01:00,0,0.0,Not Done,
85,Surf and Turf (Beef Filet and Scallops),1/5,1,0,Three Princes,Surf and Turf Sausage,QBeknto4DSk,Standard,06: 01,1,1.0,1/5 Mark Ruffalos,1.0
86,Corn Dog,3/5,2,0,Mad World,Corn Dog Sausage,__fZZ0Y_m3k,Standard,04:25,3,3.0,2/5 Mark Ruffalos,2.0
87,MRE: Asian Style Beef Strips,4/5,5,1,"Fruit Salad, Mr. Sandman",MRE Livestream: Asian Style Beef Strips,lP2_0b748LU,Livestream Recording,60:20,4,4.0,5/5 Mark Ruffalos,5.0
88,Thanksgiving Meal,1/5,Not Done,1,- No Song -,A Very Moist Thanksgiving Sausage Special,Ayk9jj-7zAk,Collaboration,12:21,1,1.0,Not Done,
89,Chicken Cordon Bleu,2/5,4,0,"Californication, I Saw Mommy Kissing Santa Claus",Chicken Cordon Bleu Sausage,gHQwvXfvU8Q,Standard,05:02,2,2.0,4/5 Mark Ruffalos,4.0
90,Jalapeno Poppers,3/5,1,0,Don't Cry Out Loud,Jalapeno Poppers Sausage,YoNe1CJqDeg,Standard,05:29,3,3.0,1/5 Mark Ruffalos,1.0
91,Publix Chicken Tinder Sub,1/5,2,0,"Hold On, Every Rose Has Its Thorn",Publix Chicken Tender Sub Sausage,1f-YwAiV3Bc,Standard,05:58,1,1.0,2/5 Mark Ruffalos,2.0
92,Baked Beans,1/5,Not Done,0,- No Song -,YouTube Comments Suggestions #3: Baked Beans Sausage,tovSwFJZgbs,YouTube Comments Suggestions,01:00,1,1.0,Not Done,
93,McDonald's McRib,5/5,5,0,One Jump Ahead (Reprise),McRib Sausage,qAp9nU-0yrw,Standard,04:07,5,5.0,5/5 Mark Ruffalos,5.0
94,Wendy's Baconator,4/5,0.5,1,9 To 5,Baconator Sausage,RuokudkSg-s,Standard,04:13,4,4.0,0.5/5 Mark Ruffalos,0.5
95,Reverse Hot Dog,3/5,Not Done,0,It's the Most Wonderful Time of the Year,YouTube Comments Suggestions 4: Reverse Hot Dog Sausage,Hxjxunvpdlk,YouTube Comments Suggestions,01:00,3,3.0,Not Done,
96,Shrimp and Vegetable Tempura,1/5,Not Done,0,"When a Man Loves a Woman, Santa Claus Is Coming To Town",Shrimp and Vegetable Tempura Sausage,NIq73IsfZXg,Standard,05:09,1,1.0,Not Done,
97,Popeyes Spicy Chicken Sandwich,4/5,1,0,"Too Young To Sing the Blues, The Chicken Dance",Popeyes Spicy Chicken Sandwich Sausage,0oGqxLX8a-0,Standard,04:31,4,4.0,1/5 Mark Ruffalos,1.0
98,Gingerbread House,3/5,0,1,"Santa Clause is Coming to Town, Home for the Holidays, Here Comes Santa Claus, I Have A Little Dreidel, Up On The Housetop, I Won't Back Down",Gingerbread House Sausage Live!,rTsWWSN2fnU,Livestream Recording,61:34,3,3.0,0/5 Mark Ruffalos,0.0
99,Venison,4.5/5,Not Done,0,Can You Feel the Love Tonight,Venison Sausage,6K74DXjzUsQ,Standard,04:55,4.5,4.5,Not Done,
100,Beef Wellington,5/5,2,0,"Let It Snow, Holly Jolly Christmas",Beef Wellington Sausage,Cs3D42VwBR0,Holiday Special,05:32,5,5.0,2/5 Mark Ruffalos,2.0
101,Sausage Casing,0/5,Not Done,0,- No Song -,YouTube Comments Suggestions 5: Sausage Casing Sausage,VqwjPQ1ereo,YouTube Comments Suggestions,01:00,0,0.0,Not Done,
102,Caesar Salad,2/5,5,1,Believe,Caesar Salad Sausage,ASgu6KLAmrE,Standard,05:10,2,2.0,5/5 Mark Ruffalos,5.0
103,Shrimp Cocktail,3.5/5,3,1,"1999, Only Time",500K Sausage,JmecLjjek6s,Milestone Special,04:50,3.5,3.5,3/5 Mark Ruffalos,3.0
104,Mayonaise,0/5,0,1,- No Song -,YouTube Comments Suggestions 6: Mayonnaise Sausage,Gr_zAtxRvEE,YouTube Comments Suggestions,01:00,0,0.0,0/5 Mark Ruffalos,0.0
105,Chicago-Style Deep Dish Pizza,5/5,1,1,Dancing Queen,Chicago-Style Deep Dish Pizza Sausage,Tv72xs8U0F8,Standard,04:11,5,5.0,1/5 Mark Ruffalos,1.0
106,Gyro,3/5,No,0,"We Didn't Start The Fire, In Summer",Gyro Sausage,LQ9UT-UEt-A,Standard,04:42,3,3.0,No (No Rating),
107,Onion,0/5,5,1,Love Rollercoaster,Onion Sausage,eeIC6uJYo3I,YouTube Comments Suggestions,01:00,0,0.0,5/5 Mark Ruffalos,5.0
108,BBQ Beef Brisket,3.5/5,1,1,I Don't Want to Wait,BBQ Beef Brisket Sausage,soztbrXqJ2k,Standard,05:05,3.5,3.5,1/5 Mark Ruffalos,1.0
109,Burger King's Whopper,2/5,2,1,"Everything's Coming Up Roses, Come To My Window",Whopper Sausage vs Impossible Whopper Sausage,ofvdMLW2Tg4,Standard,05:00,2,2.0,2/5 Mark Ruffalos,2.0
110,Burger King's Impossible Whopper,2/5,2,1,"Everything's Coming Up Roses, Come To My Window",Whopper Sausage vs Impossible Whopper Sausage,ofvdMLW2Tg4,Standard,05:00,2,2.0,2/5 Mark Ruffalos,2.0
111,Banana,1/5,Not Done,1,Banana Phone,YouTube Comments Suggestions 8: Banana Sausage,_hnXFsUGe8g,YouTube Comments Suggestions,01:00,1,1.0,Not Done,
112,Chef Boyardee Beef Ravioli,2.5/5,4,1,YMCA,Chef Boyardee Beef Ravioli Sausage,s4WI9zeJjz4,Standard,04:37,2.5,2.5,4/5 Mark Ruffalos,4.0
113,Sonic Footlong Chili Dog,5/5,1,1,"Soak Up the Sun, Waterfalls",Sonic Footlong Chili Dog Sausage,OH7ZZQcw7tI,Standard,03:42,5,5.0,1/5 Mark Ruffalos,1.0
114,Cinnamon Roll (Ground),4/5,Not Done,1,- No Song -,Cinnamon Roll Sausage,9LblZcUQsqY,YouTube Comments Suggestions,01:00,4,4.0,Not Done,
115,Cinnamon Roll (Baked),0/5,Not Done,1,- No Song -,Cinnamon Roll Sausage,9LblZcUQsqY,YouTube Comments Suggestions,01:00,0,0.0,Not Done,
116,Cinnamon Roll (Raw),0/5,Not Done,1,- No Song -,Cinnamon Roll Sausage,9LblZcUQsqY,YouTube Comments Suggestions,01:00,0,0.0,Not Done,
117,Shepherd's Pie,3/5,2.5,0,"Danny Boy, With Or Without You, We Didn't Start The Fire",Shepherd's Pie Sausage,noUl0VUhYns,Standard,06:47,3,3.0,2.5/5 Mark Ruffalos,2.5
118,Alligator,4/5,2,0,"Crocodile Rock, Sunrise",Alligator Sausage,W1uiCW7EDeg,Standard,04:03,4,4.0,2/5 Mark Ruffalos,2.0
119,Oreo,1/5,Not Done,1,Another One Bites the Dust,YouTube Comments Suggestions 10: Oreo Sausage,2LWvq9SVetc,YouTube Comments Suggestions,01:00,1,1.0,Not Done,
120,Full English Breakfast,1.5/5,1,1,"The Pirates of Penzance: Act I. 'I am the very model of a modern Major-General', Octopus’s Garden",Full English Breakfast Sausage,lClgYiYqnD8,Standard,05:02,1.5,1.5,1/5 Mark Ruffalos,1.0
121,Spam,0/5,No,1,"Walking on Sunshine, Personal Jesus",Spam Sausage,aw_1N0RKoc4,Standard,04:18,0,0.0,No (No Rating),
122,Garlic,0/5,No,0,- No Song -,YouTube Comments Suggestions 11: Garlic Sausage,Y8Y2uP5qhFI,YouTube Comments Suggestions,01:00,0,0.0,No (No Rating),
123,Lasagna,1.5/5,3,1,"Listen To The Music, Breakfast At Tiffany's",Lasagna Sausage,iLykeLINlrY,Standard,05:27,1.5,1.5,3/5 Mark Ruffalos,3.0
124,Panda Express Broccoli Beef,2.5/5,5,0,"Smells Like Teen Spirit, Chip 'N Dale's Rescue Rangers Theme",Panda Express Broccoli Beef Sausage,_VSuY2gXFN8,Standard,04:32,2.5,2.5,5/5 Mark Ruffalos,5.0
125,Poptart,1/5,Not Done,1,- No Song -,YouTube Comments Suggestions 12: Strawberry Poptart Sausage,Soz0m3c6G_I,YouTube Comments Suggestions,01:00,1,1.0,Not Done,
126,Tuna Salad Sandwich,2/5,1,0,"I Kissed A Girl, Superstition",Tuna Salad Sandwich Sausage,ZzCW37-k8h4,Standard,04:21,2,2.0,1/5 Mark Ruffalos,1.0
127,Mac and Cheese,2/5,4,0,"I Kissed A Girl, Hush Little Baby, Don't Say a Word",Mac and Cheese Sausage Live!,2rzDcXrVJwY,Livestream Recording,66:11,2,2.0,4/5 Mark Ruffalos,4.0
128,McDonald's Spicy McNuggets,3.5/5,3,0,"Blister in the Sun, Foresty Forest Song",Spicy McNugget Sausage,XxIlcE5-KDA,Standard,04:12,3.5,3.5,3/5 Mark Ruffalos,3.0
129,Nutella,4/5,Not Done,1,- No Song -,YouTube Comments Suggestions 13: Nutella Sausage,6mn9mx_jg7Q,YouTube Comments Suggestions,01:00,4,4.0,Not Done,
130,Snow Crab Legs,1/5,No,0,"Hot Hot Hot, I Want It That Way",Snow Crab Legs Sausage,-qXa4ayll4M,Standard,05:25,1,1.0,No (No Rating),
